c Rsat version 3.01
c Random seed = 91648253
c +----+-----------------+------------------+----------------------------------+---------------------------+---------+---------------------+
c | Re | Conflicts       | Original         | Learned                          | Decisions                 |  Time   | KB                  |
c | st |     Max  Actual | Clauses Literals |     Max Clauses Literals     LPC |   Total    Per Sec    C/D |         | Red. Sim. Cmp. Sub. |
c +----+-----------------+------------------+----------------------------------+---------------------------+---------+---------------------+
c Base unit clause learned: 0
c Probing 6340/6340 variables
c level 1
c Finished probing in 0.0200 s, 0 implications found using 1 levels
c Total implications found so far: 0/6340
c |  0 |     512     512 |   33221    69612 |   11073     512    15801    30.9 |    2145  107250.00  0.239 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c |  1 |    1024    1024 |   33221    69612 |   11073    1024    43223    42.2 |    1033   51650.00  0.496 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c |  2 |    2048    2048 |   33221    69612 |   11073    2048    79467    38.8 |    2761   69025.00  0.371 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c |  3 |    2560    2561 |   33221    69612 |   11073    2561    96561    37.7 |    1210   60500.00  0.424 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c |  4 |    3073    3075 |   33221    69612 |   11073    3075   114301    37.2 |     995   49750.00  0.517 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c |  5 |    4099    4099 |   33221    69612 |   11073    4099   150849    36.8 |    1788   44700.00  0.573 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c |  6 |    6147    6149 |   33221    69612 |   11073    6149   229764    37.4 |    4111   41110.00  0.499 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c |  7 |    6661    6662 |   33221    69612 |   11073    6662   253437    38.0 |    1065   53250.00  0.482 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c |  8 |    7174    7174 |   33221    69612 |   11073    7174   278998    38.9 |    1548   38700.00  0.331 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c |  9 |    8198    8198 |   33221    69612 |   11073    8198   317179    38.7 |    2330   38833.33  0.439 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 10 |    8710    8710 |   33221    69612 |   11073    8710   336027    38.6 |     958   47900.00  0.534 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 11 |    9222    9222 |   33221    69612 |   11073    9222   356158    38.6 |     916   22900.00  0.559 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 12 |   10246   10247 |   33221    69612 |   11073   10247   394985    38.5 |    1804   45100.00  0.568 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 13 |   12295   12299 |   33221    69612 |   16609    6727   255487    38.0 |    4140   34500.00  0.496 |   0.120 |    1    0    0    0 |(+ 0,- 0)
c | 14 |   16395   16395 |   33221    69612 |   16609   10823   435363    40.2 |    8751   43755.00  0.468 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 15 |   16907   16909 |   33221    69612 |   16609   11337   456347    40.3 |    1332   66600.00  0.386 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 16 |   17421   17423 |   33221    69612 |   16609   11851   478703    40.4 |    1084   54200.00  0.474 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 17 |   18447   18447 |   33221    69612 |   16609   12875   530199    41.2 |    2588   43133.33  0.396 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 18 |   18959   18962 |   33221    69612 |   16609   13390   549248    41.0 |    1007   25175.00  0.511 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 19 |   19474   19477 |   33221    69612 |   16609   13905   566082    40.7 |     986   49300.00  0.522 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 20 |   20501   20502 |   33221    69612 |   16609   14930   602478    40.4 |    1753   29216.67  0.585 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 21 |   22550   22550 |   33221    69612 |   16609   16978   690344    40.7 |    3942   28157.14  0.520 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 22 |   23062   23062 |   33221    69612 |   24914    9001   366087    40.7 |     982   24550.00  0.521 |   0.040 |    1    0    0    0 |(+ 0,- 0)
c | 23 |   23574   23575 |   33221    69612 |   24914    9514   384953    40.5 |     968   48400.00  0.530 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 24 |   24599   24599 |   33221    69612 |   24914   10538   434110    41.2 |    2381   39683.33  0.430 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 25 |   25111   25111 |   33221    69612 |   24914   11050   458719    41.5 |    1453   72650.00  0.352 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 26 |   25623   25627 |   33221    69612 |   24914   11566   480820    41.6 |    1388   69400.00  0.372 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 27 |   26651   26651 |   33221    69612 |   24914   12590   536324    42.6 |    2169   36150.00  0.472 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 28 |   28699   28699 |   33221    69612 |   24914   14638   614295    42.0 |    4085   40850.00  0.501 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 29 |   32795   32796 |   33221    69612 |   24914   18735   811056    43.3 |    8237   29417.86  0.497 |   0.280 |    0    0    0    0 |(+ 0,- 0)
