c Rsat version 3.01
c Random seed = 91648253
c +----+-----------------+------------------+----------------------------------+---------------------------+---------+---------------------+
c | Re | Conflicts       | Original         | Learned                          | Decisions                 |  Time   | KB                  |
c | 30 |   40988   40988 |   33221    69612 |   24914   26927  1144273    42.5 |   14871   27538.89  0.551 |   0.540 |    0    0    0    0 |(+ 0,- 0)
c | 31 |   41500   41500 |   33221    69612 |   37371   13281   510139    38.4 |    1576   78800.00  0.325 |   0.020 |    1    0    0    0 |(+ 0,- 0)
c | 32 |   42012   42012 |   33221    69612 |   37371   13793   528815    38.3 |    1152   57600.00  0.444 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 33 |   43036   43038 |   33221    69612 |   37371   14819   568053    38.3 |    2172   36200.00  0.472 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 34 |   43550   43550 |   33221    69612 |   37371   15331   591103    38.6 |    1323   66150.00  0.387 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 35 |   44062   44062 |   33221    69612 |   37371   15843   613471    38.7 |    1268   63400.00  0.404 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 36 |   45086   45088 |   33221    69612 |   37371   16869   670766    39.8 |    2395   39916.67  0.428 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 37 |   47136   47138 |   33221    69612 |   37371   18919   752602    39.8 |    4419   55237.50  0.464 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 38 |   47650   47652 |   33221    69612 |   37371   19433   784181    40.4 |    1467   36675.00  0.350 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 39 |   48164   48168 |   33221    69612 |   37371   19949   810526    40.6 |    1525   76250.00  0.338 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 40 |   49192   49196 |   33221    69612 |   37371   20977   863468    41.2 |    2055   34250.00  0.500 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 41 |   49708   49709 |   33221    69612 |   37371   21490   888858    41.4 |    1114   27850.00  0.461 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 42 |   50221   50222 |   33221    69612 |   37371   22003   908400    41.3 |    1064   53200.00  0.482 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 43 |   51246   51246 |   33221    69612 |   37371   23027   944848    41.0 |    1623   27050.00  0.631 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 44 |   53294   53295 |   33221    69612 |   37371   25076  1025005    40.9 |    3894   27814.29  0.526 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 45 |   57391   57391 |   33221    69612 |   37371   29172  1197277    41.0 |    7794   32475.00  0.526 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 46 |   57903   57905 |   33221    69612 |   37371   29686  1219106    41.1 |    1196   59800.00  0.430 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 47 |   58417   58418 |   33221    69612 |   37371   30199  1240920    41.1 |    1507   37675.00  0.340 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 48 |   59442   59442 |   33221    69612 |   37371   31223  1294949    41.5 |    2135   35583.33  0.480 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 49 |   59954   59957 |   33221    69612 |   37371   31738  1315719    41.5 |    1150   28750.00  0.448 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 50 |   60469   60471 |   33221    69612 |   37371   32252  1339732    41.5 |    1421   71050.00  0.362 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 51 |   61495   61496 |   33221    69612 |   37371   33277  1392146    41.8 |    2309   28862.50  0.444 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 52 |   63544   63545 |   33221    69612 |   37371   35326  1475382    41.8 |    4530   32357.14  0.452 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 53 |   64057   64057 |   33221    69612 |   37371   35838  1497659    41.8 |    1011   25275.00  0.506 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 54 |   64569   64574 |   33221    69612 |   37371   36355  1520346    41.8 |    1035   25875.00  0.500 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 55 |   65598   65599 |   33221    69612 |   37371   37380  1565236    41.9 |    2375   39583.33  0.432 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 56 |   66111   66111 |   33221    69612 |   56057   13521   550767    40.7 |    1180   19666.67  0.434 |   0.060 |    1    0    0    0 |(+ 0,- 0)
c | 57 |   66623   66623 |   33221    69612 |   56057   14033   569691    40.6 |     916   45800.00  0.559 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 58 |   67647   67647 |   33221    69612 |   56057   15057   607999    40.4 |    2100   35000.00  0.488 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 59 |   69695   69695 |   33221    69612 |   56057   17105   696413    40.7 |    4542   32442.86  0.451 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 60 |   73791   73791 |   33221    69612 |   56057   21201   869507    41.0 |    7257   25917.86  0.564 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 61 |   81983   81983 |   33221    69612 |   56057   29393  1207212    41.1 |   15658   26096.67  0.523 |   0.600 |    0    0    0    0 |(+ 0,- 0)
c | 62 |   98367   98367 |   33221    69612 |   56057   45777  1943046    42.4 |   28399   19451.37  0.577 |   1.460 |    0    0    0    0 |(+ 0,- 0)
c | 63 |   98879   98880 |   33221    69612 |   56057   46290  1961048    42.4 |     895   14916.67  0.573 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 64 |   99392   99392 |   33221    69612 |   56057   46802  1983828    42.4 |    1013   16883.33  0.505 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 65 |  100416  100418 |   33221    69612 |   56057   47828  2023152    42.3 |    1772   14766.67  0.579 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 66 |  100930  100933 |   33221    69612 |   56057   48343  2040020    42.2 |     949   15816.67  0.543 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 67 |  101445  101445 |   33221    69612 |   56057   48855  2057028    42.1 |     841   21025.00  0.609 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 68 |  102469  102469 |   33221    69612 |   56057   49879  2090470    41.9 |    1983   19830.00  0.516 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 69 |  104517  104517 |   33221    69612 |   56057   51927  2165639    41.7 |    4073   20365.00  0.503 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 70 |  105029  105029 |   33221    69612 |   56057   52439  2184901    41.7 |     763   12716.67  0.671 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 71 |  105541  105542 |   33221    69612 |   56057   52952  2203787    41.6 |     875   10937.50  0.586 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 72 |  106566  106567 |   33221    69612 |   56057   53977  2241345    41.5 |    1642   13683.33  0.624 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 73 |  107079  107079 |   33221    69612 |   56057   54489  2260435    41.5 |     939   15650.00  0.545 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 74 |  107591  107593 |   33221    69612 |   56057   55003  2276744    41.4 |     747   18675.00  0.688 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 75 |  108617  108619 |   33221    69612 |   56057   56029  2315686    41.3 |    1818   18180.00  0.564 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 76 |  110667  110669 |   33221    69612 |   84085   18311   553860    30.2 |    3183   17683.33  0.644 |   0.180 |    1    0    0    0 |(+ 0,- 0)
c | 77 |  114765  114765 |   33221    69612 |   84085   22407   700449    31.3 |    7176   32618.18  0.571 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 78 |  115277  115278 |   33221    69612 |   84085   22920   719030    31.4 |    1155   57750.00  0.444 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 79 |  115790  115790 |   33221    69612 |   84085   23432   737934    31.5 |    1227   61350.00  0.417 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 80 |  116814  116815 |   33221    69612 |   84085   24457   787256    32.2 |    3206   80150.00  0.320 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 81 |  117327  117327 |   33221    69612 |   84085   24969   805080    32.2 |    1193   29825.00  0.429 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 82 |  117839  117842 |   33221    69612 |   84085   25484   825241    32.4 |    1149   57450.00  0.448 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 83 |  118866  118867 |   33221    69612 |   84085   26509   872786    32.9 |    2681   44683.33  0.382 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 84 |  120915  120917 |   33221    69612 |   84085   28559   963779    33.7 |    4442   44420.00  0.462 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 85 |  121429  121429 |   33221    69612 |   84085   29071   981240    33.8 |    1061   26525.00  0.483 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 86 |  121941  121942 |   33221    69612 |   84085   29584  1007011    34.0 |    1643   82150.00  0.312 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 87 |  122966  122966 |   33221    69612 |   84085   30608  1049684    34.3 |    2309   38483.33  0.443 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 88 |  123478  123478 |   33221    69612 |   84085   31120  1070568    34.4 |    1003   50150.00  0.510 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 89 |  123990  123990 |   33221    69612 |   84085   31632  1088448    34.4 |     826   20650.00  0.620 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 90 |  125014  125015 |   33221    69612 |   84085   32657  1132428    34.7 |    1931   32183.33  0.531 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 91 |  127063  127063 |   33221    69612 |   84085   34705  1220884    35.2 |    4740   39500.00  0.432 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 92 |  131159  131160 |   33221    69612 |   84085   38802  1384782    35.7 |    7977   26590.00  0.514 |   0.300 |    0    0    0    0 |(+ 0,- 0)
c | 93 |  139352  139352 |   33221    69612 |   84085   46994  1748642    37.2 |   15711   28055.36  0.521 |   0.560 |    0    0    0    0 |(+ 0,- 0)
c | 94 |  139864  139865 |   33221    69612 |   84085   47507  1766867    37.2 |     978   24450.00  0.525 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 95 |  140377  140377 |   33221    69612 |   84085   48019  1782854    37.1 |     996   24900.00  0.514 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 96 |  141401  141401 |   33221    69612 |   84085   49043  1826418    37.2 |    2141   35683.33  0.478 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 97 |  141913  141913 |   33221    69612 |   84085   49555  1854336    37.4 |    1247   31175.00  0.411 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 98 |  142425  142426 |   33221    69612 |   84085   50068  1873684    37.4 |    1085   18083.33  0.473 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 99 |  143450  143451 |   33221    69612 |   84085   51093  1917789    37.5 |    2379   29737.50  0.431 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 100 |  145499  145499 |   33221    69612 |   84085   53141  2010721    37.8 |    4035   25218.75  0.508 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 101 |  146011  146014 |   33221    69612 |   84085   53656  2034785    37.9 |     885   22125.00  0.582 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 102 |  146526  146531 |   33221    69612 |   84085   54173  2057659    38.0 |    1400   35000.00  0.369 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 103 |  147555  147555 |   33221    69612 |   84085   55197  2103682    38.1 |    2034   25425.00  0.503 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 104 |  148067  148067 |   33221    69612 |   84085   55709  2121184    38.1 |     843   21075.00  0.607 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 105 |  148579  148580 |   33221    69612 |   84085   56222  2139490    38.1 |     823   13716.67  0.623 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 106 |  149604  149606 |   33221    69612 |   84085   57248  2173989    38.0 |    1563   19537.50  0.656 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 107 |  151654  151654 |   33221    69612 |   84085   59296  2240381    37.8 |    2821   14105.00  0.726 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 108 |  155750  155750 |   33221    69612 |   84085   63392  2385426    37.6 |    6851   18028.95  0.598 |   0.380 |    0    0    0    0 |(+ 0,- 0)
c | 109 |  156262  156262 |   33221    69612 |   84085   63904  2402580    37.6 |     999   49950.00  0.513 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 110 |  156774  156774 |   33221    69612 |   84085   64416  2417921    37.5 |     774   12900.00  0.661 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 111 |  157798  157798 |   33221    69612 |   84085   65440  2453033    37.5 |    1788   17880.00  0.573 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 112 |  158310  158310 |   33221    69612 |   84085   65952  2471888    37.5 |     813   13550.00  0.630 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 113 |  158822  158823 |   33221    69612 |   84085   66465  2490600    37.5 |     903   15050.00  0.568 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 114 |  159847  159850 |   33221    69612 |   84085   67492  2539386    37.6 |    2343   23430.00  0.438 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 115 |  161898  161898 |   33221    69612 |   84085   69540  2636253    37.9 |    4255   26593.75  0.481 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 116 |  162410  162413 |   33221    69612 |   84085   70055  2661564    38.0 |    1058   17633.33  0.487 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 117 |  162925  162925 |   33221    69612 |   84085   70567  2682847    38.0 |    1209   30225.00  0.423 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 118 |  163949  163950 |   33221    69612 |   84085   71592  2728523    38.1 |    1918   15983.33  0.534 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 119 |  164462  164462 |   33221    69612 |   84085   72104  2747080    38.1 |     963   24075.00  0.532 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 120 |  164974  164976 |   33221    69612 |   84085   72618  2766190    38.1 |    1038   17300.00  0.495 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 121 |  166000  166000 |   33221    69612 |   84085   73642  2802403    38.1 |    1765   22062.50  0.580 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 122 |  168048  168049 |   33221    69612 |   84085   75691  2875658    38.0 |    3380   18777.78  0.606 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 123 |  172145  172147 |   33221    69612 |   84085   79789  3030033    38.0 |    7100   18684.21  0.577 |   0.380 |    0    0    0    0 |(+ 0,- 0)
c | 124 |  180339  180339 |   33221    69612 |  126128   17334   574468    33.1 |   13277   15087.50  0.617 |   0.880 |    1    0    0    0 |(+ 0,- 0)
c | 125 |  196723  196724 |   33221    69612 |  126128   33719  1253024    37.2 |   27278   19209.86  0.601 |   1.420 |    0    0    0    0 |(+ 0,- 0)
c | 126 |  229492  229493 |   33221    69612 |  126128   66488  2727354    41.0 |   56897   20176.24  0.576 |   2.820 |    0    0    0    0 |(+ 0,- 0)
c | 127 |  230005  230005 |   33221    69612 |  126128   67000  2747585    41.0 |    1047   17450.00  0.489 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 128 |  230517  230517 |   33221    69612 |  126128   67512  2765157    41.0 |    1063   26575.00  0.482 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 129 |  231541  231541 |   33221    69612 |  126128   68536  2800651    40.9 |    1677   13975.00  0.611 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 130 |  232053  232053 |   33221    69612 |  126128   69048  2814852    40.8 |     973   24325.00  0.526 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 131 |  232565  232566 |   33221    69612 |  126128   69561  2835236    40.8 |    1028   25700.00  0.499 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 132 |  233590  233591 |   33221    69612 |  126128   70586  2874586    40.7 |    2169   21690.00  0.473 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 133 |  235639  235640 |   33221    69612 |  126128   72635  2958192    40.7 |    4523   28268.75  0.453 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 134 |  236152  236157 |   33221    69612 |  126128   73152  2976302    40.7 |     981   24525.00  0.527 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 135 |  236669  236670 |   33221    69612 |  126128   73665  2995381    40.7 |    1237   30925.00  0.415 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 136 |  237694  237694 |   33221    69612 |  126128   74689  3046933    40.8 |    2005   16708.33  0.511 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 137 |  238206  238208 |   33221    69612 |  126128   75203  3067943    40.8 |    1255   20916.67  0.410 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 138 |  238720  238723 |   33221    69612 |  126128   75718  3085280    40.7 |    1070   26750.00  0.481 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 139 |  239747  239747 |   33221    69612 |  126128   76742  3133819    40.8 |    1853   18530.00  0.553 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 140 |  241795  241796 |   33221    69612 |  126128   78791  3232183    41.0 |    3852   19260.00  0.532 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 141 |  245892  245893 |   33221    69612 |  126128   82888  3391087    40.9 |    7045   19569.44  0.582 |   0.360 |    0    0    0    0 |(+ 0,- 0)
c | 142 |  246405  246408 |   33221    69612 |  126128   83403  3421426    41.0 |    1318   21966.67  0.391 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 143 |  246920  246924 |   33221    69612 |  126128   83919  3442866    41.0 |    1238   20633.33  0.417 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 144 |  247948  247950 |   33221    69612 |  126128   84945  3487575    41.1 |    1930   24125.00  0.532 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 145 |  248462  248463 |   33221    69612 |  126128   85458  3505408    41.0 |     892   44600.00  0.575 |   0.020 |    0    0    0    0 |(+ 0,- 0)
c | 146 |  248975  248975 |   33221    69612 |  126128   85970  3523497    41.0 |     782   13033.33  0.655 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 147 |  249999  249999 |   33221    69612 |  126128   86994  3561946    40.9 |    1621   20262.50  0.632 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 148 |  252047  252047 |   33221    69612 |  126128   89042  3630285    40.8 |    3557   17785.00  0.576 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 149 |  252559  252561 |   33221    69612 |  126128   89556  3647773    40.7 |     990   24750.00  0.519 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 150 |  253073  253074 |   33221    69612 |  126128   90069  3664987    40.7 |    1040   17333.33  0.493 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 151 |  254098  254098 |   33221    69612 |  126128   91093  3702497    40.6 |    1846   15383.33  0.555 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 152 |  254610  254613 |   33221    69612 |  126128   91608  3722325    40.6 |     995   24875.00  0.518 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 153 |  255125  255126 |   33221    69612 |  126128   92121  3744663    40.6 |    1063   26575.00  0.483 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 154 |  256150  256152 |   33221    69612 |  126128   93147  3784660    40.6 |    1850   13214.29  0.555 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 155 |  258200  258200 |   33221    69612 |  126128   95195  3870926    40.7 |    4111   15811.54  0.498 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 156 |  262296  262296 |   33221    69612 |  126128   99291  4014187    40.4 |    7671   21308.33  0.534 |   0.360 |    0    0    0    0 |(+ 0,- 0)
c | 157 |  270488  270488 |   33221    69612 |  126128  107483  4332653    40.3 |   14770   11911.29  0.555 |   1.240 |    0    0    0    0 |(+ 0,- 0)
c | 158 |  271000  271000 |   33221    69612 |  126128  107995  4351041    40.3 |    1065   10650.00  0.481 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 159 |  271512  271514 |   33221    69612 |  126128  108509  4371120    40.3 |     989   12362.50  0.520 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 160 |  272538  272538 |   33221    69612 |  126128  109533  4411165    40.3 |    1833   10183.33  0.559 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 161 |  273050  273054 |   33221    69612 |  126128  110049  4434255    40.3 |    1086   10860.00  0.475 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 162 |  273566  273566 |   33221    69612 |  126128  110561  4457054    40.3 |    1049   13112.50  0.488 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 163 |  274590  274591 |   33221    69612 |  126128  111586  4491422    40.3 |    1693    9405.56  0.605 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 164 |  276639  276640 |   33221    69612 |  126128  113635  4570209    40.2 |    3805   14634.62  0.539 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 165 |  277152  277153 |   33221    69612 |  126128  114148  4594006    40.2 |    1053   17550.00  0.487 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 166 |  277665  277666 |   33221    69612 |  126128  114661  4611139    40.2 |    1120   14000.00  0.458 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 167 |  278690  278692 |   33221    69612 |  126128  115687  4659328    40.3 |    2279   18991.67  0.450 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 168 |  279204  279204 |   33221    69612 |  126128  116199  4678759    40.3 |     962   12025.00  0.532 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 169 |  279716  279716 |   33221    69612 |  126128  116711  4696538    40.2 |     821   10262.50  0.624 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 170 |  280740  280741 |   33221    69612 |  126128  117736  4737845    40.2 |    2021   14435.71  0.507 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 171 |  282789  282789 |   33221    69612 |  126128  119784  4809191    40.1 |    3639   12130.00  0.563 |   0.300 |    0    0    0    0 |(+ 0,- 0)
c | 172 |  286885  286885 |   33221    69612 |  126128  123880  4976260    40.2 |    7286   11384.38  0.562 |   0.640 |    0    0    0    0 |(+ 0,- 0)
